Depth,PHIS_SS,SP_NRM,AI,Freq,Amp,Phase
5259.5,0.269,-10.403,1023.04,8.37,2230.88,-23.42
5281.0,0.305,-7.356,-4242.67,7.8,2189.92,40.86
5302.5,0.312,-5.261,-5814.5,6.62,2323.24,97.67
5324.0,0.311,-19.33,-2524.31,5.33,2584.1,143.53
5345.5,0.284,-8.654,2102.39,4.64,2993.58,-179.66
5367.0,0.287,-3.959,4533.45,4.79,3499.36,-144.51
5389.0,0.299,-5.424,4353.66,5.32,4220.84,-105.33
5410.5,0.144,-28.662,2180.03,5.75,5018.46,-61.99
5432.0,0.239,-26.095,-2110.94,5.94,5520.8,-16.16
5453.5,0.254,-62.855,-6831.59,5.88,5582.41,30.27
5475.0,0.25,-5.448,-7168.87,5.53,5287.53,75.1
5496.5,0.282,-27.906,-936.97,4.94,4894.51,116.01
5518.0,0.216,-50.693,6798.53,4.41,4636.06,151.82
5539.5,0.133,-25.987,9394.17,4.19,4353.77,-175.58
5561.0,0.282,-3.987,5706.78,4.19,3823.13,-143.22
5583.0,0.224,-10.29,-918.14,4.2,3077.23,-110.52
5604.5,0.301,-5.964,-6494.32,3.7,2280.58,-78.05
5626.0,0.338,-54.408,-8504.06,0.48,1805.61,-53.09
5669.0,0.144,-44.221,204.53,1.95,2637.03,-71.49
5690.5,0.244,-43.484,5644.71,4.33,3281.42,-40.38
5712.0,0.187,-33.395,6243.18,4.63,3635.38,-4.29
5733.5,0.256,-7.921,2717.85,4.47,3606.19,31.46
5755.0,0.264,-5.925,-904.15,4.12,3287.02,65.15
5777.0,0.238,-2.79,-1875.5,3.68,2942.84,95.39
5798.5,0.262,-29.424,-813.17,3.48,2846.34,122.34
5820.0,0.24,-8.656,243.37,3.49,2943.8,149.39
5841.5,0.255,-10.018,490.14,2.95,3009.1,176.43
5863.0,0.379,-53.397,-244.44,1.64,2948.43,-164.86
5884.5,0.273,-52.554,-1697.95,1.53,2810.74,-158.11
5906.0,0.324,-41.203,-2176.33,3.18,2726.08,-141.19
5927.5,0.294,-42.373,-492.73,4.66,2864.42,-108.74
5949.0,0.206,-45.71,1569.36,5.3,3163.4,-68.88
5971.0,0.288,-11.112,1256.58,5.42,3379.68,-26.51
5992.5,0.228,-4.854,-880.36,5.08,3353.57,15.18
6014.0,0.358,-46.256,-1499.42,4.37,3064.71,52.35
6035.5,0.274,-22.278,473.48,4.02,2703.34,83.02
6057.0,0.311,-15.891,2427.17,4.67,2577.06,114.77
6078.5,0.318,-39.021,2600.57,5.8,2608.75,155.49
6100.0,0.207,-32.106,1929.98,6.82,2641.09,-155.22
6121.5,0.251,-54.112,800.56,7.79,2628.74,-98.66
6143.0,0.271,-38.541,-2024.46,8.77,2574.19,-34.26
6165.0,0.208,-45.262,-5721.27,9.19,2642.06,37.43
6186.5,0.252,-44.777,-6126.04,8.5,2828.32,108.34
6208.0,0.208,-40.687,-1047.74,7.19,2974.04,169.28
6229.5,0.272,-42.506,5546.74,6.1,3095.6,-140.04
6251.0,0.205,-26.933,7823.52,5.46,3229.26,-95.99
6272.5,0.206,-51.527,4227.96,5.07,3369.51,-55.37
